German name	lat.	taxid	taxonomic_rank	Grundlage
Pfefferminze	Mentha x piperita	34256	species	LFGB Leitsätze Tee - Pflanzen
Pfingstrose	Paeonia officinalis	69717	species	LFGB Leitsätze Tee - Pflanzen
Pomeranze	Citrus aurantium	43166	species	LFGB Leitsätze Tee - Pflanzen
Ringelblume	Calendula officinalis	41496	species	LFGB Leitsätze Tee - Pflanzen
Rittersporn	Consolida regalis	984867	species	LFGB Leitsätze Tee - Pflanzen
Rooibos/Rotbusch	Aspalathus linearis	155124	species	LFGB Leitsätze Tee - Pflanzen
Rose	Rosa spp.	3764	genus	LFGB Leitsätze Tee - Pflanzen
Salbei	Salvia officinalis	38868	species	LFGB Leitsätze Tee - Pflanzen
Sanddorn	Hippophae rhamnoides	193516	species	LFGB Leitsätze Tee - Pflanzen
Sonnenblume	Helianthus annuus	4232	species	LFGB Leitsätze Tee - Pflanzen
Stiefmütterchen	Viola tricolor	214053	species	LFGB Leitsätze Tee - Pflanzen
Stevia	Stevia rebaudiana	55670	species	LFGB Leitsätze Tee - Pflanzen
Süßholz	Glycyrrhiza glabra	49827	species	LFGB Leitsätze Tee - Pflanzen
Walnuss	Juglans regia	51240	species	LFGB Leitsätze Tee - Pflanzen
Zichorie	Cichorium intybus	13427	species	LFGB Leitsätze Tee - Pflanzen
Zitrone	Citrus x limon	2708	species	LFGB Leitsätze Tee - Pflanzen
Zitronengras	Cymbopogon spp.	66013	genus	LFGB Leitsätze Tee - Pflanzen
Zitronenverbene	Aloysia citriodora	925377	species	LFGB Leitsätze Tee - Pflanzen
Guarana	Paullinia cupana	392747	species	LFGB Leitsätze Tee - Koffeinhaltige
Kakao	Theobroma Cacao	3641	species	LFGB Leitsätze Tee - Koffeinhaltige
Kolanuss	Cola acuminata	93760	species	LFGB Leitsätze Tee - Koffeinhaltige
Kolanuss	Cola nitida	82457	species	LFGB Leitsätze Tee - Koffeinhaltige
Mate	Ilex paraguariensis	185542	species	LFGB Leitsätze Tee - Koffeinhaltige
Faulbaum	Rhamnus frangula	106677	species	VO 02006R1925:2025 Anhang III
Senna alexandrina	Senna alexandrina	72402	species	VO 02006R1925:2025 Anhang III
Zier Rhabarber	Rheum palmatum 	137221	species	VO 02006R1925:2025 Anhang III
Zier Rhabarber	Rheum officinale 	137220	species	VO 02006R1925:2025 Anhang III
Maulbeere 	Morus	3497	genus	Kontaminant
Acker-Schachtelhalm 	Equisetum arvense	3258	species	Kontaminant
Erica 	Erica	13509	genus	Kontaminant
Aprikosenkerne 	Prunus armeniaca	36596	species	Kontaminant
Olivenblätter	Olea europaea	4146	species	Kontaminant
Myrte	Myrtus communis	119949	species	Kontaminant
Ölweide	Elaeagnus angustifolia	36777	species	Kontaminant
Cashewnuss  	Anacardium occidentale	171929	species	Kontaminant
Anacardium occidentale	Rheum x hybrida	171929	species	Kontaminant
