taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
3553	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Atriplex	Atriplex nummularia
3557	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Patellifolia	Patellifolia patellaris
3559	214	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Chenopodium	Chenopodium album
3560	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Oxybasis	Oxybasis rubra
3562	19	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Spinacia	Spinacia oleracea
3565	48	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	Amaranthus hybridus
3567	28	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	Amaranthus caudatus
3570	8	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Dianthus	Dianthus caryophyllus
3572	24	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Saponaria	Saponaria officinalis
3575	25	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Silene	Silene gallica
3580	19	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Cerastium	Cerastium glomeratum
3583	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Portulacaceae	Portulaca	Portulaca grandiflora
3586	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Didiereaceae	Alluaudia	Alluaudia procera
3589	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Basellaceae	Basella	Basella alba
3592	15	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Molluginaceae	Mollugo	Mollugo verticillata
3595	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Cactaceae	Schlumbergera	Schlumbergera truncata
3597	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Cactaceae	Pereskia	Pereskia aculeata
3605	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis aestivalis
3607	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Parthenocissus	Parthenocissus quinquefolia
3610	16	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnus	Rhamnus cathartica
3617	61	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Fagopyrum	Fagopyrum esculentum
3619	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rumex	Rumex obtusifolius
3621	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rheum	Rheum rhabarbarum
3625	19	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia chinensis
