taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
3942	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Onagraceae	Oenothera	Oenothera biennis
3956	29	species	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum	Combretum indicum
3981	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Hevea	Hevea brasiliensis
3983	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Manihot	Manihot esculenta
3985	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Mercurialis	Mercurialis perennis
3986	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Mercurialis	Mercurialis annua
3988	8	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Ricinus	Ricinus communis
3993	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia esula
3996	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Jatropha	Jatropha multifida
4006	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Linaceae	Linum	Linum usitatissimum
4020	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Tropaeolaceae	Tropaeolum	Tropaeolum majus
4026	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer pseudoplatanus
4031	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Geraniales	Geraniaceae	Pelargonium	Pelargonium x hortorum
4032	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Geraniales	Geraniaceae	Pelargonium	Pelargonium zonale
4039	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota
4041	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Pastinaca	Pastinaca sativa
4043	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Petroselinum	Petroselinum crispum
4045	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Apium	Apium graveolens
4047	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Coriandrum	Coriandrum sativum
4049	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Hydrocotyle	Hydrocotyle sibthorpioides
4054	82	species	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Panax	Panax ginseng
4058	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	Catharanthus roseus
4060	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Rauvolfia	Rauvolfia serpentina
4066	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Calotropis	Calotropis gigantea
4072	19	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Capsicum	Capsicum annuum
4073	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Capsicum	Capsicum frutescens
4075	20	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Datura inoxia
4076	18	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Datura stramonium
4079	27	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Hyoscyamus	Hyoscyamus niger
4081	14	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum lycopersicum
4097	16	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Nicotiana	Nicotiana tabacum
4103	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Petunia	Petunia integrifolia
4111	30	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum melongena
4112	22	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum nigrum
4113	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum tuberosum
4114	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum aviculare
4120	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea	Ipomoea batatas
