taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
85571	49	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus reticulata
94328	49	species	Viridiplantae	Streptophyta	Magnoliopsida	Zingiberales	Zingiberaceae	Zingiber	Zingiber officinale
97441	15	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Viola odorata
106677	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rhamnaceae	Frangula	Frangula alnus
119949	94	species	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrtus	Myrtus communis
121718	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Tilia	Tilia tomentosa
127986	16	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Matricaria	Matricaria chamomilla
137220	51	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rheum	Rheum officinale
137221	187	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rheum	Rheum palmatum
145754	35	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Malva	Malva sylvestris
155109	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cyclopia	Cyclopia subternata
155124	25	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Aspalathus	Aspalathus linearis
159033	14	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus x aurantiifolia
171929	19	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Anacardiaceae	Anacardium	Anacardium occidentale
172266	25	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Tilia	Tilia cordata
180763	90	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	Vaccinium myrtillus
183260	14	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus sabdariffa
185542	25	species	Viridiplantae	Streptophyta	Magnoliopsida	Aquifoliales	Aquifoliaceae	Ilex	Ilex paraguariensis
193516	60	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Elaeagnaceae	Hippophae	Hippophae rhamnoides
211815	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus fruticosus
214053	15	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Viola tricolor
261776	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Helichrysum	Helichrysum arenarium
271192	8	species	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Pimpinella	Pimpinella anisum
392747	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Paullinia	Paullinia cupana
661339	15	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Aronia	Aronia melanocarpa
714495	11	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus chingii
925377	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Verbenaceae	Aloysia	Aloysia citrodora
984867	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Consolida	Consolida regalis
